v1
v0.8.2
---------------------SYSTEM INFO---------------------
os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),Intel Core i5-10600K CPU @ 4.10GHz,AMD Radeon RX 9070 XT (RADV GFX1201),32148228,7.0.1-cachyos,,performance
--------------------FRAME METRICS--------------------
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
2610.64,0.383048,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,139474609
99.7924,10.0208,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,149496275
100.213,9.97871,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,159475148
99.7566,10.0244,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,169500960
99.6449,10.0356,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,179539755
100.233,9.9768,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,189517035
100.526,9.94765,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,199464198
99.6958,10.0305,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,209495420
99.5955,10.0406,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,219539628
100.167,9.98333,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,229522364
100.365,9.96368,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,239485775
99.6601,10.0341,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,249521872
100.21,9.97907,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,259501644
100.023,9.9977,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,269499407
100.262,9.97386,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,279473764
99.695,10.0306,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,289505140
100.313,9.96875,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,299474055
99.6019,10.04,19.8991,0,0,70,0,350,0,0,0,9.61514,2.96913,0,4600,309514850
